layer,feature_idx,mean_A_hold,mean_B_hold,mean_C_hold,t_AvB_hold,p_AvB_hold,t_AvC_hold,p_AvC_hold,t_BvC_hold,p_BvC_hold,pattern
22,20094,46.368397,16.819183,40.97123,6.587183673665132,3.0727547460888206e-05,1.5748127724997856,0.13814741503864192,-4.671458583876679,0.00024022537992131668,PARTIAL
22,57955,3.1059632,15.994191,17.289146,-2.5446377825601734,0.027253556768775642,-2.8226902510809073,0.01654099250870821,-0.19153375624621008,0.8502516068674206,INVERSE
22,20846,11.891539,1.721084,0.93869555,2.7915734896833464,0.017503778155711955,3.061766113025787,0.011591593439199748,0.5229108018838335,0.6076995861858738,SCOPE_SPECIFIC
22,54862,4.084012,0.0,0.6693237,1.835423087424621,0.09963367637597496,1.4695712373103587,0.1706818504292723,-0.999999955534233,0.34343641651486145,WEAK
22,60176,0.0,24.305882,0.0,-5.199181382998728,0.000564673730691359,,,5.199181382998728,0.000564673730691359,INVERSE
22,7983,0.0,2.122215,3.234534,-1.4879779462846126,0.17093248950897372,-2.4067157584996464,0.0394609614973651,-0.5675986091413541,0.5773436661250575,INVERSE
22,36750,11.146225,5.100606,0.0,2.1149598587198755,0.049226503227130805,6.164683969333507,0.00016575925314688493,2.303773295120705,0.04671008476314696,NEGATION_GRADED
22,19839,0.0,1.1035954,3.6518464,-1.0000000055211318,0.34343639360779155,-1.8240261737561958,0.10145312894301996,-1.114672412922156,0.2837517067087202,WEAK
22,22498,7.2797728,0.0,0.0,2.110754702778388,0.06399130886113143,2.110754702778388,0.06399130886113143,,,WEAK
22,25777,0.0,0.0,5.565839,,,-2.255884180248105,0.05051523425174061,-2.255884180248105,0.05051523425174061,WEAK
22,2927,0.0,9.164691,0.0,-3.1390698218132114,0.011945906027588054,,,3.1390698218132114,0.011945906027588054,INVERSE
22,49793,0.0,34.616142,0.0,-3.253534605038184,0.00994099779183788,,,3.253534605038184,0.00994099779183788,INVERSE
22,5761,0.0,3.4106393,7.2208357,-1.8488273543182827,0.09753277516618662,-2.600416963208869,0.028718580749799355,-1.1429234002391553,0.27025495513301234,INVERSE
22,11327,2.5464673,5.789393,16.664501,-1.1739543099293177,0.2565905094052304,-5.259008198437584,6.012456294794214e-05,-3.615074811407174,0.001985456806400119,INVERSE
22,44977,10.909513,0.0,0.0,2.949663874911214,0.016229792968185306,2.949663874911214,0.016229792968185306,,,SCOPE_SPECIFIC
22,51864,0.0,6.311881,0.0,-2.901392220030877,0.01755553309067021,,,2.901392220030877,0.01755553309067021,INVERSE
22,4461,13.047961,4.204904,14.8136215,3.8385299830479194,0.001317503147744112,-0.5788916528324074,0.5704339489803065,-3.7489707553613467,0.002060595209744625,PARTIAL
